voted_for,gender,education,age
Biden,Female,4-year,30
Trump,Other,2-year,40
Biden,Female,Some college,73
Trump,Female,High school graduate,69
Trump,Male,High school graduate,81
Biden,Male,Some college,53
Trump,Female,No HS,43
Biden,Female,Some college,34
Biden,Male,Post-grad,28
Biden,Female,High school graduate,72
Biden,Female,High school graduate,61
Biden,Female,No HS,33
Trump,Male,4-year,24
Trump,Female,Some college,24
Biden,Male,High school graduate,31
Biden,Female,Post-grad,70
Biden,Female,Some college,76
Biden,Female,High school graduate,68
Biden,Female,Some college,27
Biden,Non-binary,Some college,25
Biden,Female,High school graduate,58
Trump,Male,2-year,69
Biden,Male,High school graduate,48
Biden,Female,4-year,54
Trump,Male,2-year,25
Biden,Male,2-year,66
Trump,Male,High school graduate,46
Biden,Female,Some college,22
Trump,Female,High school graduate,64
Trump,Female,High school graduate,26
Biden,Female,High school graduate,51
Biden,Female,High school graduate,55
Biden,Male,4-year,32
Biden,Female,High school graduate,44
Biden,Female,High school graduate,24
Biden,Female,4-year,31
Biden,Female,4-year,73
Trump,Female,No HS,37
Trump,Male,2-year,28
Trump,Male,High school graduate,60
Biden,Male,4-year,70
Biden,Female,4-year,24
Biden,Male,4-year,73
Trump,Female,High school graduate,63
Trump,Female,Some college,42
Trump,Female,Post-grad,39
Biden,Male,High school graduate,44
Biden,Male,Post-grad,29
Biden,Male,Some college,55
Biden,Female,Some college,33
Trump,Female,4-year,69
Trump,Female,4-year,59
Biden,Female,No HS,44
Biden,Female,4-year,25
Trump,Female,4-year,69
Biden,Male,High school graduate,35
Biden,Male,High school graduate,36
Biden,Male,Some college,30
Biden,Female,Some college,54
Biden,Male,Some college,23
Trump,Male,High school graduate,54
Biden,Male,Some college,28
Trump,Male,Some college,46
Trump,Female,Some college,30
Biden,Female,2-year,29
Biden,Female,4-year,26
Trump,Male,High school graduate,74
Trump,Female,High school graduate,64
Trump,Female,High school graduate,82
Biden,Female,Some college,24
Biden,Female,High school graduate,84
Biden,Female,No HS,65
Trump,Female,Some college,58
Trump,Male,4-year,30
Trump,Female,No HS,37
Biden,Female,Some college,27
Biden,Male,High school graduate,60
Trump,Female,4-year,24
Biden,Male,High school graduate,25
Trump,Female,2-year,30
Trump,Male,Some college,37
Trump,Female,Some college,26
Trump,Female,High school graduate,62
Trump,Male,High school graduate,53
Trump,Male,2-year,60
Biden,Female,4-year,41
Trump,Male,2-year,25
Trump,Male,High school graduate,23
Trump,Male,High school graduate,68
Biden,Male,Post-grad,69
Biden,Female,4-year,80
Trump,Female,4-year,67
Biden,Male,Some college,30
Biden,Female,Post-grad,29
Biden,Male,Some college,25
Biden,Male,4-year,26
Biden,Female,Post-grad,43
Trump,Male,Some college,51
Biden,Female,4-year,31
Biden,Female,Post-grad,68
Trump,Female,2-year,36
Trump,Male,2-year,29
Biden,Male,2-year,53
Biden,Male,4-year,25
Trump,Male,2-year,62
Trump,Male,Some college,47
Biden,Female,Post-grad,61
Biden,Male,No HS,49
Biden,Female,4-year,31
Biden,Female,High school graduate,54
Biden,Female,4-year,54
Biden,Male,High school graduate,65
Biden,Male,Post-grad,74
Trump,Male,2-year,82
Trump,Female,Some college,51
Biden,Male,No HS,75
Biden,Female,No HS,59
Biden,Female,High school graduate,46
Trump,Female,High school graduate,64
Trump,Female,High school graduate,89
Trump,Male,High school graduate,54
Biden,Female,Some college,22
Biden,Female,High school graduate,59
Biden,Male,Some college,23
Biden,Male,High school graduate,47
Biden,Female,Some college,25
Biden,Male,4-year,26
Biden,Female,Some college,68
Biden,Male,High school graduate,32
Trump,Female,Some college,63
Trump,Male,High school graduate,36
Trump,Male,Some college,26
Trump,Male,High school graduate,65
Biden,Male,High school graduate,65
Biden,Female,High school graduate,24
Biden,Female,4-year,73
Biden,Male,4-year,26
Trump,Male,High school graduate,61
Biden,Female,High school graduate,82
Trump,Male,No HS,40
Biden,Male,High school graduate,30
Biden,Female,4-year,31
Trump,Female,No HS,29
Trump,Male,High school graduate,32
Trump,Female,High school graduate,53
Trump,Female,High school graduate,60
Trump,Male,4-year,70
Trump,Male,4-year,62
Trump,Female,High school graduate,46
Biden,Male,Post-grad,49
Biden,Male,4-year,29
Biden,Male,Post-grad,79
Biden,Female,4-year,28
Trump,Female,Some college,51
Biden,Male,2-year,76
Biden,Male,4-year,55
Trump,Female,Post-grad,70
Biden,Female,4-year,55
Trump,Female,Some college,31
Trump,Male,4-year,69
Biden,Male,4-year,46
Trump,Male,Post-grad,64
Biden,Female,4-year,72
Trump,Female,Some college,56
Biden,Female,4-year,38
Trump,Female,4-year,52
Trump,Female,4-year,50
Biden,Female,Post-grad,55
Biden,Female,Some college,69
Trump,Female,Some college,71
Biden,Female,Post-grad,38
Biden,Male,Post-grad,72
Biden,Female,Some college,53
Biden,Female,High school graduate,36
Trump,Female,Some college,61
Trump,Male,4-year,49
Biden,Male,4-year,28
Biden,Female,4-year,42
Biden,Male,Post-grad,79
Biden,Female,Some college,23
Trump,Female,Some college,31
Trump,Female,Some college,30
Biden,Female,Post-grad,58
Trump,Female,Post-grad,70
Biden,Non-binary,High school graduate,23
Biden,Female,Post-grad,52
Biden,Female,Some college,70
Trump,Male,Post-grad,62
Trump,Female,2-year,82
Biden,Female,4-year,53
Biden,Female,Post-grad,59
Biden,Male,Post-grad,57
Biden,Female,2-year,69
Biden,Male,Post-grad,39
Trump,Male,Post-grad,70
Biden,Female,4-year,64
Biden,Male,4-year,75
Biden,Female,High school graduate,41
Biden,Male,Some college,59
Biden,Male,Post-grad,75
Biden,Male,Post-grad,38
Trump,Male,Post-grad,60
Biden,Female,High school graduate,67
Biden,Female,No HS,43
Trump,Female,4-year,46
Trump,Female,2-year,77
Trump,Female,2-year,56
Trump,Female,Some college,53
Biden,Male,Post-grad,68
Biden,Female,4-year,56
Biden,Female,Post-grad,54
Biden,Male,4-year,71
Biden,Male,Post-grad,32
Biden,Female,Some college,41
Biden,Female,Some college,51
Biden,Female,Some college,58
Biden,Female,Some college,65
Trump,Male,High school graduate,42
Biden,Female,Some college,38
Trump,Female,Post-grad,84
Biden,Non-binary,Post-grad,40
Trump,Female,4-year,64
Biden,Male,Post-grad,50
Trump,Female,High school graduate,65
Biden,Male,2-year,40
Biden,Female,2-year,50
Biden,Male,4-year,65
Trump,Male,Some college,64
Biden,Male,Post-grad,42
Trump,Male,Post-grad,86
Biden,Female,4-year,51
Biden,Female,High school graduate,66
Trump,Female,Some college,31
Trump,Female,High school graduate,53
Biden,Female,4-year,84
Biden,Female,2-year,71
Biden,Female,4-year,71
Trump,Female,Some college,77
Trump,Male,Post-grad,57
Biden,Male,Post-grad,72
Trump,Female,Some college,65
Biden,Female,4-year,76
Biden,Female,Some college,74
Biden,Male,2-year,57
Trump,Female,Post-grad,64
Biden,Female,Post-grad,63
Biden,Male,Post-grad,49
Trump,Female,4-year,75
Biden,Female,4-year,82
Trump,Male,Post-grad,50
Biden,Male,Post-grad,34
Biden,Male,4-year,35
Biden,Male,Post-grad,67
Trump,Female,Post-grad,46
Biden,Female,4-year,56
Trump,Male,4-year,63
Trump,Male,4-year,73
Biden,Male,Some college,28
Biden,Female,4-year,28
Biden,Female,4-year,72
Biden,Male,4-year,42
Trump,Male,Some college,43
Trump,Female,2-year,52
Biden,Female,4-year,65
Biden,Male,Some college,53
Biden,Male,4-year,34
Trump,Female,2-year,63
Biden,Female,4-year,72
Biden,Female,Post-grad,31
Trump,Female,4-year,58
Trump,Female,High school graduate,56
Biden,Female,Some college,66
Biden,Female,Some college,72
Biden,Male,Some college,57
Biden,Female,2-year,66
Biden,Female,4-year,68
Trump,Male,Post-grad,60
Trump,Female,Post-grad,54
Trump,Male,4-year,53
Trump,Female,Some college,79
Biden,Female,Post-grad,51
Biden,Male,Post-grad,71
Trump,Male,High school graduate,45
Trump,Male,4-year,59
Trump,Male,2-year,32
Trump,Male,4-year,74
Biden,Male,4-year,74
Biden,Male,High school graduate,28
Biden,Female,Post-grad,41
Trump,Male,High school graduate,41
Trump,Female,2-year,55
Biden,Female,4-year,80
Biden,Female,2-year,74
Biden,Male,4-year,63
Trump,Female,2-year,44
Biden,Female,Some college,77
Trump,Female,4-year,76
Biden,Male,High school graduate,35
Biden,Male,4-year,36
Trump,Male,High school graduate,36
Biden,Female,Some college,23
Trump,Male,High school graduate,70
Biden,Male,4-year,63
Trump,Male,4-year,60
Trump,Male,4-year,75
Biden,Female,4-year,65
Biden,Male,Post-grad,35
Biden,Male,Post-grad,78
Trump,Female,Post-grad,66
Trump,Male,Post-grad,63
Biden,Female,Some college,30
Biden,Female,4-year,38
Biden,Female,4-year,59
Biden,Female,Some college,52
Biden,Female,Post-grad,50
Trump,Male,Post-grad,65
Biden,Male,4-year,73
Biden,Female,Some college,63
Biden,Female,4-year,25
Trump,Male,4-year,80
Trump,Female,Some college,53
Trump,Male,Post-grad,57
Biden,Female,Some college,73
Trump,Female,Some college,82
Biden,Female,2-year,70
Biden,Male,4-year,41
Trump,Female,2-year,60
Trump,Male,Some college,66
Trump,Female,High school graduate,31
Trump,Male,Some college,70
Trump,Male,High school graduate,56
Biden,Female,4-year,67
Biden,Female,No HS,41
Trump,Female,High school graduate,54
Biden,Male,Post-grad,59
Trump,Male,High school graduate,54
Biden,Female,High school graduate,30
Biden,Male,Some college,45
Biden,Female,Some college,30
Biden,Male,4-year,77
Biden,Female,4-year,31
Biden,Male,4-year,80
Biden,Female,Some college,71
Biden,Female,4-year,38
Biden,Male,Post-grad,63
Trump,Female,4-year,37
Biden,Male,4-year,75
Biden,Female,Some college,75
Biden,Female,Some college,74
Biden,Male,4-year,29
Trump,Male,4-year,46
Biden,Female,2-year,57
Biden,Male,4-year,41
Biden,Female,Some college,85
Biden,Male,4-year,48
Trump,Male,Some college,23
Trump,Female,Some college,52
Trump,Female,Some college,32
Biden,Male,Post-grad,32
Biden,Male,High school graduate,66
Biden,Male,Some college,48
Biden,Male,4-year,89
Trump,Female,Post-grad,59
Trump,Female,2-year,74
Biden,Female,4-year,37
Biden,Female,Post-grad,38
Trump,Female,Some college,28
Biden,Female,2-year,35
Trump,Female,Some college,64
Biden,Male,4-year,38
Trump,Female,Post-grad,59
Trump,Female,Some college,62
Biden,Non-binary,4-year,44
Biden,Female,Some college,54
Trump,Male,4-year,68
Trump,Female,Some college,77
Biden,Female,4-year,64
Biden,Female,Some college,68
Biden,Female,Post-grad,52
Biden,Male,4-year,87
Biden,Female,Some college,68
Trump,Male,4-year,67
Biden,Male,4-year,29
Trump,Female,4-year,72
Biden,Male,Some college,26
Biden,Female,4-year,62
Biden,Female,Post-grad,42
Biden,Female,Post-grad,33
Trump,Female,2-year,71
Trump,Male,High school graduate,30
Trump,Female,4-year,33
Biden,Male,4-year,32
Biden,Female,Post-grad,37
Biden,Male,Post-grad,49
Trump,Female,Some college,67
Trump,Male,High school graduate,65
Trump,Male,4-year,85
Trump,Male,High school graduate,28
Trump,Male,High school graduate,24
Trump,Female,2-year,61
Trump,Male,4-year,65
Biden,Male,2-year,24
Trump,Male,Some college,73
Biden,Male,Post-grad,50
Trump,Female,Some college,73
Biden,Male,Post-grad,34
Trump,Female,Some college,54
Biden,Male,Post-grad,58
Biden,Male,Some college,68
Biden,Female,Post-grad,56
Trump,Male,4-year,57
Trump,Female,Some college,45
Biden,Male,4-year,34
Biden,Female,4-year,55
Trump,Male,4-year,73
Biden,Female,4-year,36
Biden,Male,4-year,37
Trump,Male,Post-grad,67
Trump,Female,Post-grad,39
Biden,Female,4-year,34
Trump,Male,Some college,81
Biden,Female,Some college,65
Biden,Female,4-year,30
Biden,Male,4-year,38
Biden,Male,4-year,47
Biden,Female,Post-grad,58
Biden,Female,Some college,24
Biden,Male,4-year,44
Trump,Male,4-year,55
Biden,Male,2-year,47
Trump,Male,4-year,55
Biden,Male,4-year,67
Biden,Male,4-year,28
Biden,Female,4-year,75
Biden,Female,Some college,56
Biden,Female,Some college,43
Biden,Male,2-year,23
Biden,Male,Some college,42
Biden,Male,4-year,28
Biden,Female,2-year,35
Trump,Male,4-year,63
Trump,Male,High school graduate,41
Biden,Female,4-year,23
Trump,Female,No HS,22
Biden,Male,High school graduate,33
Trump,Female,4-year,37
Biden,Male,4-year,56
Trump,Female,4-year,37
Biden,Male,Some college,26
Biden,Female,4-year,45
Trump,Female,Post-grad,27
Biden,Male,No HS,32
Trump,Male,High school graduate,34
Biden,Male,High school graduate,26
Biden,Female,4-year,31
Trump,Female,4-year,43
Trump,Male,High school graduate,39
Trump,Female,High school graduate,48
Trump,Male,High school graduate,28
Trump,Male,High school graduate,25
Trump,Female,4-year,36
Trump,Female,2-year,35
Biden,Male,High school graduate,57
Biden,Female,Some college,45
Biden,Female,4-year,42
Trump,Male,Some college,67
Biden,Female,Some college,31
Trump,Male,High school graduate,63
Biden,Female,High school graduate,63
Biden,Male,4-year,47
Biden,Male,High school graduate,24
Biden,Female,High school graduate,67
Biden,Other,2-year,43
Biden,Female,Post-grad,58
Biden,Male,4-year,29
Trump,Female,4-year,25
Biden,Female,Post-grad,48
Trump,Male,2-year,63
Trump,Male,4-year,57
Biden,Female,4-year,28
Biden,Male,4-year,29
Biden,Male,4-year,35
Biden,Female,High school graduate,67
Biden,Female,Some college,27
Biden,Female,4-year,39
Biden,Female,4-year,25
Trump,Male,Post-grad,48
Biden,Female,Some college,46
Biden,Female,4-year,29
Trump,Female,4-year,65
Biden,Female,2-year,24
Biden,Female,High school graduate,61
Trump,Male,4-year,59
Biden,Female,4-year,34
Trump,Male,High school graduate,41
Trump,Male,Some college,59
Biden,Male,4-year,42
Biden,Male,High school graduate,52
Trump,Female,4-year,34
Biden,Male,4-year,64
Trump,Female,4-year,31
Biden,Male,High school graduate,69
Trump,Female,2-year,31
Biden,Female,4-year,40
Trump,Male,Some college,82
Biden,Male,2-year,80
Biden,Female,4-year,40
Biden,Male,4-year,43
Biden,Female,4-year,36
Biden,Male,Some college,63
Biden,Male,4-year,52
Trump,Male,High school graduate,53
Trump,Female,No HS,73
Trump,Female,4-year,36
Trump,Male,4-year,64
Trump,Male,4-year,66
Biden,Male,2-year,59
Trump,Male,4-year,61
Trump,Male,4-year,53
Biden,Male,Post-grad,56
Trump,Male,4-year,62
Trump,Male,4-year,59
Biden,Female,2-year,34
Biden,Male,4-year,60
Trump,Male,Some college,49
Trump,Male,4-year,48
Trump,Male,4-year,50
Biden,Non-binary,High school graduate,26
Biden,Male,2-year,82
Biden,Male,4-year,24
Biden,Male,4-year,59
Biden,Female,4-year,38
Trump,Female,High school graduate,74
Biden,Male,4-year,54
Trump,Male,4-year,60
Trump,Male,4-year,66
Biden,Male,4-year,61
Biden,Female,High school graduate,62
Biden,Male,4-year,48
Biden,Male,4-year,59
Biden,Male,4-year,60
Biden,Female,4-year,26
Trump,Male,Post-grad,30
Biden,Male,4-year,55
Biden,Male,Some college,42
Trump,Female,Post-grad,36
Trump,Female,2-year,43
Trump,Female,High school graduate,27
Trump,Male,4-year,64
Trump,Male,2-year,76
Biden,Female,Some college,29
Biden,Male,Some college,68
Trump,Female,High school graduate,83
Trump,Male,4-year,59
Trump,Female,4-year,29
Biden,Male,4-year,39
Biden,Female,Some college,30
Biden,Male,4-year,60
Biden,Female,Post-grad,30
Trump,Male,4-year,24
Trump,Male,High school graduate,79
Trump,Male,High school graduate,76
Trump,Male,High school graduate,70
Trump,Female,High school graduate,54
Trump,Male,4-year,36
Trump,Male,High school graduate,48
Trump,Male,High school graduate,59
Trump,Male,4-year,61
Trump,Male,Some college,70
Biden,Male,4-year,34
Biden,Female,2-year,51
Biden,Female,High school graduate,58
Biden,Female,High school graduate,75
Biden,Male,4-year,58
Trump,Female,High school graduate,64
Biden,Female,2-year,53
Biden,Male,4-year,60
Biden,Male,4-year,36
Trump,Male,Some college,33
Trump,Male,4-year,60
Biden,Female,High school graduate,38
Biden,Male,Post-grad,57
Biden,Male,Some college,42
Biden,Female,Post-grad,31
Trump,Male,4-year,57
Biden,Female,Some college,50
Trump,Male,High school graduate,82
Biden,Female,2-year,62
Biden,Male,4-year,51
Biden,Female,4-year,47
Trump,Female,4-year,62
Biden,Male,4-year,60
Biden,Male,Some college,44
Trump,Male,4-year,63
Biden,Male,4-year,66
Biden,Male,4-year,66
Biden,Male,High school graduate,80
Trump,Female,4-year,30
Trump,Female,4-year,24
Trump,Male,4-year,58
Trump,Male,4-year,61
Biden,Male,High school graduate,69
Trump,Male,4-year,60
Biden,Male,4-year,61
Biden,Male,4-year,65
Biden,Male,4-year,48
Biden,Female,Post-grad,86
Biden,Female,2-year,30
Biden,Female,Post-grad,57
Trump,Male,High school graduate,32
Trump,Female,4-year,26
Trump,Male,High school graduate,89
Biden,Male,2-year,69
Biden,Male,Some college,40
Trump,Female,High school graduate,52
Biden,Male,4-year,54
Biden,Female,4-year,43
Trump,Male,High school graduate,56
Biden,Male,2-year,78
Biden,Male,4-year,26
Trump,Male,High school graduate,77
Biden,Female,2-year,28
Trump,Male,4-year,50
Biden,Female,Post-grad,70
Biden,Female,4-year,27
Biden,Female,4-year,31
Biden,Female,No HS,41
Trump,Female,High school graduate,28
Trump,Male,Some college,40
Biden,Female,2-year,41
Biden,Male,4-year,54
Biden,Male,4-year,25
Trump,Female,2-year,39
Trump,Female,High school graduate,24
Biden,Male,High school graduate,56
Biden,Male,Some college,35
Trump,Male,2-year,46
Biden,Female,High school graduate,27
Trump,Male,Some college,82
Trump,Male,Some college,32
Biden,Female,High school graduate,70
Biden,Male,4-year,66
Biden,Male,Some college,44
Biden,Female,2-year,34
Trump,Male,2-year,36
Trump,Male,4-year,24
Biden,Female,4-year,54
Biden,Male,4-year,47
Biden,Female,Some college,61
Biden,Male,High school graduate,60
Biden,Female,2-year,23
Biden,Male,4-year,25
Biden,Female,Some college,37
Biden,Female,Post-grad,27
Trump,Female,2-year,41
Trump,Male,4-year,52
Biden,Female,4-year,85
Trump,Male,High school graduate,68
Biden,Male,2-year,82
Trump,Other,Some college,56
Trump,Female,High school graduate,71
Trump,Male,4-year,61
Trump,Female,High school graduate,26
Trump,Male,High school graduate,78
Biden,Female,Post-grad,48
Biden,Female,High school graduate,31
Trump,Male,High school graduate,24
Biden,Female,High school graduate,26
Trump,Male,2-year,35
Biden,Male,4-year,53
Biden,Male,High school graduate,42
Biden,Female,Some college,26
Biden,Female,High school graduate,22
Biden,Male,4-year,31
